"","address_original","lon","lat","type","loctype","address","north","south","east","west"
"1","ANA MARIA SERRANO BARONA DIAG 127 B NO. 72-26; KALATRABA; BOGOTA COLOMBIA",-74.0792114,4.7124242,"street_address","range_interpolated","dg. 127b #72-26, bogotá, colombia",4.7137731802915,4.7110752197085,-74.0778624197085,-74.0805603802915
"2","EDUARDO ENRIQUE RODRIGUEZ MUÑOZ CRA 2A NO 70 - 09 (501) BOGOTA - COLOMBIA",-74.0526405,4.6515576,"subpremise","rooftop","cra. 2a #70-09 501, bogotá, colombia",4.6528979302915,4.6501999697085,-74.0512290697085,-74.0539270302915
"3","MORENO & ASSOCIATES TRADE FACILITORS CALLE 66 NO. 3-19 OF 402 BOGOTA COLOMBIA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ECHAVARRIA ABOGADOS CALLE 3 SUR NO 43 A 52; OFICINA 1005; TORRE ULTRABURSÁTILES; 43 AVENIDA; MEDELLIN COLOMBIA",-75.5728002,6.2014165,"subpremise","rooftop","cl. 3 sur #43a-52 oficina 1005, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.2025251302915,6.1998271697085,-75.5713914197085,-75.5740893802915
"5","BARRIOS  VELEZ & ASOCIADOS CALLE 79 A; NO. 8 - 63; PISO 6 BOGOTÁ; COLOMBIA",-57.9777276,-30.7574057,"neighborhood","approximate","barrio vélez sarsfield, chajarí, entre ríos, argentina",-30.7560567197085,-30.7587546802915,-57.9763786197085,-57.9790765802915
"6","MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS",-77.3399129,25.0775907,"premise","rooftop","saffrey square, bank lane, nassau, the bahamas",25.0789348302915,25.0762368697085,-77.3386209697085,-77.3413189302915
"7","CONSULTORIA Y GESTION INTEGRAL CALLE 11B N 31A-18 POBLADO-LALINDE MEDELLIN COLOMBIA",-75.5619444,6.2119893,"premise","rooftop","cl. 11b #31a-18, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.2133299802915,6.2106320197085,-75.5606098197085,-75.5633077802915
"8","CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",-75.5692408,6.2120006,"establishment","rooftop","cl. 11b #41-89, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.2134364302915,6.2107384697085,-75.5678296197085,-75.5705275802915
"9","CARRERA 43A NO 9 SUR - 91 TORRE NORTE OFC. 1104   MEDELLIN,COLOMBIA MEDELLIN COLOMBIA",-75.5751988,6.1961108,"subpremise","rooftop","business center las villas, cra. 43a # 9 sur - 91, el poblado, medellín, el poblado, medellín, antioquia, colombia",6.1974783802915,6.1947804197085,-75.5738200697085,-75.5765180302915
"10","HIGH QUALITY SERVICES INC. 1601 NW 97TH AVE.  P.O. BOX 025207 MIAMI FL 33102-5207 PTY 35407 U.S.A.",-80.3524228,25.7890341,"premise","rooftop","1601 nw 97th ave, miami, fl 33172, usa",25.7904232302915,25.7877252697085,-80.3511505197085,-80.3538484802915
