"","node_id","name","jurisdiction","company_type","address","incorporation_date","inactivation_date","dorm_date","status","struck_off_date","country_codes","sourceID","valid_until","term","origin","valid_until_year","incorporation_date_form","incorporation_year","inactivation_date_form","inactivation_year","dorm_date_form","dorm_date_year","struck_off_date_form","struck_off_date_year","avg_officers","years_operative","tax_haven","avg_colombians","name_2","type","subtype","lat","lon","loctype","type_adr","hotspot_dist","nearest_hotspot"
"1",10170717,"MALE OVERSEAS S.A.","PMA",NA,"ANA MARIA SERRANO BARONA DIAG 127 B NO. 72-26; KALATRABA; BOGOTA COLOMBIA","27-APR-2015",NA,NA,"Active",NA,"COL","Panama Papers",2015,"OREJUELA","Officer","2015-12-31","2015-04-26T22:00:00Z",2015,NA,NA,NA,NA,NA,NA,-0.20665724777737,-1.04619853700266,1,-0.162556149152493,"MALE OVERSEAS S.A.","B2BC","Referral Services",4.7124242,-74.0792114,"range_interpolated","street_address",763672.3291,"Panama City"
"2",10162469,"ADAMSWOOD BUSINESS S.A.","PMA",NA,"EDUARDO ENRIQUE RODRIGUEZ MUÑOZ CRA 2A NO 70 - 09 (501) BOGOTA - COLOMBIA","01-AUG-2012",NA,NA,"Active",NA,"COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2012-07-31T22:00:00Z",2012,NA,NA,NA,NA,NA,NA,-0.20665724777737,-0.747720075494044,1,-0.162556149152493,"ADAMSWOOD BUSINESS S.A.","B2BC","Dealer",4.6515576,-74.0526405,"rooftop","subpremise",770240.462,"Panama City"
"3",10160747,"ALGISA MANAGEMENT CORP.","PMA",NA,"MORENO & ASSOCIATES TRADE FACILITORS CALLE 66 NO. 3-19 OF 402 BOGOTA COLOMBIA","14-APR-2011","16-JUL-2014",NA,"Defaulted","15-JUL-2014","COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2011-04-13T22:00:00Z",2011,"2014-07-15T22:00:00Z",2014,NA,NA,"2014-07-14T22:00:00Z",2014,-0.520872929132018,-0.747720075494044,1,-0.162556149152493,"ALGISA MANAGEMENT CORP.","B2BC","Residential/Commercial",NA,NA,NA,NA,NA,"Panama City"
"4",10172746,"SORBELIA INTERNATIONAL S.A.","PMA",NA,"ECHAVARRIA ABOGADOS CALLE 3 SUR NO 43 A 52; OFICINA 1005; TORRE ULTRABURSÁTILES; 43 AVENIDA; MEDELLIN COLOMBIA","20-JUL-2005",NA,NA,"Active",NA,"COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2005-07-19T22:00:00Z",2005,NA,NA,NA,NA,NA,NA,-0.320917495542696,-0.051270331973928,1,-0.162556149152493,"SORBELIA INTERNATIONAL S.A.","B2BC","Referral Services",6.2014165,-75.5728002,"rooftop","subpremise",531290.8951,"Panama City"
"5",10207103,"GLENVILLE MANAGEMENT LTD.","BVI",NA,"BARRIOS  VELEZ & ASOCIADOS CALLE 79 A; NO. 8 - 63; PISO 6 BOGOTÁ; COLOMBIA","07-SEP-2010",NA,NA,"Defaulted","30-APR-2012","COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2010-09-06T22:00:00Z",2010,NA,NA,NA,NA,"2012-04-29T22:00:00Z",2012,3.24971524712375,-0.548734434488297,1,-0.162556149152493,"GLENVILLE MANAGEMENT LTD.","B2BC","Residential/Commercial",-30.7574057,-57.9777276,"approximate","neighborhood",4884931.4186,"St.Michael"
"6",10164727,"THORLEY ENTERPRISES INC.","PMA",NA,"MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS","11-JUL-2011","21-JAN-2015",NA,"Defaulted","15-JAN-2015","BHS","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2011-07-10T22:00:00Z",2011,"2015-01-20T23:00:00Z",2015,NA,NA,"2015-01-14T23:00:00Z",2015,-0.583716065402947,-0.64822725499117,1,-0.162556149152493,"THORLEY ENTERPRISES INC.","B2BC","Contractor",25.0775907,-77.3399129,"rooftop","premise",32.8528,"New Providence"
"7",10162496,"BESOLAR S.A.","PMA",NA,"CONSULTORIA Y GESTION INTEGRAL CALLE 11B N 31A-18 POBLADO-LALINDE MEDELLIN COLOMBIA","02-MAR-2012",NA,NA,"Active",NA,"COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2012-03-01T23:00:00Z",2012,NA,NA,NA,NA,NA,NA,-0.520872929132018,-0.747720075494044,1,-0.162556149152493,"BESOLAR S.A.","B2BC","Contractor",6.2119893,-75.5619444,"rooftop","premise",531564.5409,"Panama City"
"8",10165412,"FACTORING CONSULTING, S.A.","PMA",NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA","04-SEP-2007",NA,NA,"Active",NA,"COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2007-09-03T22:00:00Z",2007,NA,NA,NA,NA,NA,NA,0.0377327266095782,-0.250255972979675,1,-0.162556149152493,"FACTORING CONSULTING, S.A.","B2BC","Computer Services",6.2120006,-75.5692408,"rooftop","establishment",530911.8818,"Panama City"
"9",10162481,"KIRKVIEW HOLDINGS S.A.","PMA",NA,"CARRERA 43A NO 9 SUR - 91 TORRE NORTE OFC. 1104   MEDELLIN,COLOMBIA MEDELLIN COLOMBIA","02-AUG-2012",NA,NA,"Active",NA,"COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2012-08-01T22:00:00Z",2012,NA,NA,NA,NA,NA,NA,-0.20665724777737,-0.747720075494044,1,-0.162556149152493,"KIRKVIEW HOLDINGS S.A.","B2BC","Residential/Commercial",6.1961108,-75.5751988,"rooftop","subpremise",531427.138,"Panama City"
"10",10159420,"BROMPTON CONTRACTORS INC.","PMA",NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA","05-AUG-2011",NA,NA,"Active",NA,"COL","Panama Papers",2015,"LONDOÑO","Officer","2015-12-31","2011-08-04T22:00:00Z",2011,NA,NA,NA,NA,NA,NA,NA,-0.64822725499117,1,NA,"BROMPTON CONTRACTORS INC.","B2BC","Contractor",6.2120006,-75.5692408,"rooftop","establishment",530911.8818,"Panama City"
