"node_id","name","original_name","former_name","jurisdiction","jurisdiction_description","company_type","address","internal_id","incorporation_date","inactivation_date","struck_off_date","dorm_date","status","service_provider","ibcRUC","country_codes","countries","sourceID","valid_until","note","term"
10067562,"SANTACRUZ INTERNATIONAL COMPANY INC.","SANTACRUZ INTERNATIONAL COMPANY INC.","","BVI","British Virgin Islands","","UNION BANCAIRE PRIVEE UBP RUE DU RHONE 96-98  1204, GENEVA SWITZERLAND",516316,"03-JAN-1996","23-FEB-2007","31-OCT-2007","","Defaulted","Mossack Fonseca","171411","CHE","Switzerland","Panama Papers","The Panama Papers data is current through 2015","","SANTACRUZ"
218096,"SANTACRUZ UNIVERSAL LIMITED","","","XXX","Undetermined","Standard Company under IBC Act","Arosemena, Noriega & Contreras Edificio Banco Do Brasil Calle El Vira Mendez Apartado 0816-01560, Zona 5 Panama Republic of Panama RT BVI",NA,"11-OCT-1999","","","","Transferred OUT","Commonwealth Trust Limited","347549","XXX;PAN","Not identified;Panama","Offshore Leaks","The Offshore Leaks data is current through 2010","","SANTACRUZ"
215652,"TRUJILLO HOLDINGS LLC","","","XXX","Undetermined","Nevis - Limited Liability Company","Corporate Research LLC 119 East Court Street Cincinnati, OH 45202 USA RT BVI",NA,"02-NOV-2005","","","01-DEC-2009","Dead","Commonwealth Trust Limited","L7542","KNA;USA","Saint Kitts and Nevis;United States","Offshore Leaks","The Offshore Leaks data is current through 2010","","TRUJILLO"
20086213,"TRUJILLO INVESTMENTS CORP.","TRUJILLO INVESTMENTS CORP.","","BAH","Bahamas","","",86213,"01-FEB-1999","","","","","","86213B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","TRUJILLO"
200507542,"TRUJILLO HOLDINGS LLC","","","KNA","Saint Kitts and Nevis","","",NA,"02-NOV-2005","","01-DEC-2009","","","","","","","Paradise Papers - Nevis corporate registry","Nevis corporate registry data is current through 2016","","TRUJILLO"
20096212,"MONTOYA HOLDINGS LTD.","MONTOYA HOLDINGS LTD.","","BAH","Bahamas","","",96212,"20-SEP-1999","","11-FEB-2008","","","","96212B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","MONTOYA"
10052389,"GRUPO PUERTA DE HIERRO S.A.","GRUPO PUERTA DE HIERRO S.A.","","PMA","Panama","","DEL TOBOSO TRUST CO. S.A. PLAZA COLONIAL; OFICINA 217-A ESCAZU; COSTA RICA *S.I.*",45352,"01-NOV-2007","18-JAN-2010","15-JAN-2010","","Defaulted","Mossack Fonseca","82","CRI","Costa Rica","Panama Papers","The Panama Papers data is current through 2015","","PUERTA"
10203740,"INVERSIONES PUERTA DE HIERRO LTD.","INVERSIONES PUERTA DE HIERRO LTD. (EX. INVERSIONES COLON LTD.)","INVERSIONES COLON LTD.","BVI","British Virgin Islands","","C/O BBVA MIAMI 2 SOUTH BISCAYNE BOULEVARD; ONE BISCAYNE TOWER - SUITE 3301 MIAMI; FL  33131",547028,"05-FEB-2002","06-NOV-2008","31-OCT-2008","","Defaulted","Mossack Fonseca","481977","USA","United States","Panama Papers","The Panama Papers data is current through 2015","","PUERTA"
20129772,"PUERTA LIBRE INVESTMENT LTD.","PUERTA LIBRE INVESTMENT LTD.","","BAH","Bahamas","","",129772,"06-FEB-2004","","","","","","129772B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","PUERTA"
20129773,"PUERTA DE SOL MANAGEMENT CORP.","PUERTA DE SOL MANAGEMENT CORP.","","BAH","Bahamas","","",129773,"06-FEB-2004","","","","","","129773B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","PUERTA"
20129775,"PUERTA DEL SOL INC.","PUERTA DEL SOL INC.","","BAH","Bahamas","","",129775,"06-FEB-2004","","","","","","129775B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","PUERTA"
85049882,"VIDRIOS, PUERTA, VENTANAS PETRONILIA","","","AW","Aruba","","",NA,"25-JUN-2016","","","","","","","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","","PUERTA"
20049360,"MANTILLA LIMITED","MANTILLA LIMITED","","BAH","Bahamas","","",49360,"25-OCT-1996","","01-JAN-2000","","","","49360B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","MANTILLA"
20073977,"MANTILLA VENTURES INC","MANTILLA VENTURES INC","","BAH","Bahamas","","",73977,"06-APR-1998","","10-APR-2003","","","","73977B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","MANTILLA"
20015188,"LEMOS INVESTMENTS LIMITED","LEMOS INVESTMENTS LIMITED","","BAH","Bahamas","","",15188,"08-JUN-1993","","","","","","15188B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","LEMOS"
200147589,"LEMOS INVESTMENT CORP.","","","KNA","Saint Kitts and Nevis","","",NA,"06-JAN-2017","","","","","","","","","Paradise Papers - Nevis corporate registry","Nevis corporate registry data is current through 2016","","LEMOS"
10108941,"VARELA LIMITED","VARELA LIMITED","","BVI","British Virgin Islands","","IAP INVESTMENT & TRUST SERVICES AG BRANDSCHENKESTRASSE 45 8002 ZURICH SWITZERLAND",566632,"20-DEC-2004","05-MAY-2015","30-APR-2016","","Inactivated","Mossack Fonseca","631012","CHE","Switzerland","Panama Papers","The Panama Papers data is current through 2015","","VARELA"
10173227,"VARELA TRADING LIMITED","VARELA TRADING LIMITED","","BAH","Bahamas","","ILS FIDUCIARIES (IOM) LIMITED FIRST FLOOR MILENNIUM HOUSE VICTORIA ROAD DOUGLAS ISLE OF MAN, IM2 4RW",801714,"11-NOV-1993","04-JAN-1997","31-DEC-1996","","Defaulted","Mossack Fonseca","18405-B","IMN","Isle of Man","Panama Papers","The Panama Papers data is current through 2015","","VARELA"
10194999,"VARELA INC.","VARELA INC.","","PMA","Panama","","CMB COMPAGNIE MONEGASQUE DE BANQUE 23, AVENUE DE LA COSTA 98000 MONACO",40645,"06-DEC-2006","","","","Active","Mossack Fonseca","9","MCO","Monaco","Panama Papers","The Panama Papers data is current through 2015","","VARELA"
20018405,"VARELA TRADING LIMITED","VARELA TRADING LIMITED","","BAH","Bahamas","","",18405,"11-NOV-1993","","31-OCT-1997","","","","18405B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","VARELA"
20089435,"VARELA INVESTMENTS, LIMITED","VARELA INVESTMENTS, LIMITED","","BAH","Bahamas","","",89435,"22-APR-1999","","10-APR-2003","","","","89435B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","VARELA"
20167377,"VARELA INVESTMENT HOLDINGS LIMITED","VARELA INVESTMENT HOLDINGS LIMITED","","BAH","Bahamas","","",167377,"08-APR-2013","","","","","","167377B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","VARELA"
85023414,"VARELA LOTTERY","","","AW","Aruba","","",NA,"28-MAY-1998","","","","","","","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date.","VARELA"
85023415,"VARELA LOTTERY","","","AW","Aruba","","",NA,"28-MAY-1998","","","","","","","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","Closed date stands for Cancelled date.","VARELA"
240025066,"VARELA BUSINESS INC.","","","BVI","British Virgin Islands","Business Corporation","",NA,"12-MAY-1995","","","","Continuation Out","","149906","VGB","British Virgin Islands","Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)","Provider data is current through 2018","","VARELA"
10042056,"VALEN INVESTMENT INC.","VALEN INVESTMENT INC.","","PMA","Panama","","CREDIT SUISSE PRIVATE BANKING PLACE BEL-AIR, 2  CASE POSTALE 500 1211 GENEVA 70  SWITZERLAND",31389,"30-MAY-2005","10-JAN-2011","15-JUL-2012","","Defaulted","Mossack Fonseca","62","CHE","Switzerland","Panama Papers","The Panama Papers data is current through 2015","","VALEN"
10148043,"VALEN INVESTMENTS LTD.","VALEN INVESTMENTS LTD.","","BVI","British Virgin Islands","","TEAM CONCEPT CONSULTANTS LIMITED 15D; CAMERON PLAZA; 23 CAMERON ROAD; TSIMSHATSUI KOWLOON HONG KONG",6021770,"24-JUN-2011","","","","Active","Mossack Fonseca","","HKG","Hong Kong","Panama Papers","The Panama Papers data is current through 2015","","VALEN"
10179595,"VALEN LIMITED","VALEN LIMITED","","BAH","Bahamas","","OMNI MANAGEMENT CONSULTANCY FZE OFFICE NUMBER 425; RAS AL KHAIMAH FREE TRADE ZONE AUTHORITY  GOVERNMENT OF RAS AL KHAIMAH; P.O. BOX 10055 RAS AL KHAIMAH; UNITED ARAB EMIRATES",814319,"16-APR-2003","03-JAN-2012","31-DEC-2011","","Defaulted","Mossack Fonseca","126808 B","ARE","United Arab Emirates","Panama Papers","The Panama Papers data is current through 2015","","VALEN"
