"node_id_start","node_id_end","rel_type","link","status","start_date","end_date","sourceID","origin_match"
12158124,10000464,"officer_of","shareholder of",NA,"05-JAN-2011",NA,"Panama Papers","1_node_start"
12046512,10000734,"officer_of","shareholder of",NA,"13-AUG-2015",NA,"Panama Papers","1_node_start"
12142953,10000790,"officer_of","shareholder of",NA,"21-MAR-2007",NA,"Panama Papers","1_node_start"
12106813,10001051,"officer_of","shareholder of",NA,"03-APR-2009",NA,"Panama Papers","1_node_start"
12084123,10001847,"officer_of","shareholder of",NA,"02-SEP-2008",NA,"Panama Papers","1_node_start"
12114379,10001889,"officer_of","shareholder of",NA,"02-JUN-2015",NA,"Panama Papers","1_node_start"
12149699,10002756,"officer_of","shareholder of",NA,"23-OCT-2014",NA,"Panama Papers","1_node_start"
12198703,10002757,"officer_of","shareholder of",NA,"20-MAY-2015",NA,"Panama Papers","1_node_start"
12151078,10003113,"officer_of","shareholder of",NA,"04-APR-2011","23-APR-2015","Panama Papers","1_node_start"
12164017,10003555,"officer_of","shareholder of",NA,"16-OCT-2015",NA,"Panama Papers","1_node_start"
12083918,10003755,"officer_of","shareholder of",NA,"17-NOV-2006",NA,"Panama Papers","1_node_start"
12083916,10003755,"officer_of","shareholder of",NA,"17-NOV-2006",NA,"Panama Papers","1_node_start"
12084043,10003755,"officer_of","shareholder of",NA,"17-NOV-2006",NA,"Panama Papers","1_node_start"
12149039,10003785,"officer_of","shareholder of",NA,"17-JUL-2008",NA,"Panama Papers","1_node_start"
12027776,10003830,"officer_of","shareholder of",NA,"17-MAY-2001","07-MAR-2002","Panama Papers","1_node_start"
12027773,10003830,"officer_of","shareholder of",NA,"17-MAY-2001","07-MAR-2002","Panama Papers","1_node_start"
12029004,10003830,"officer_of","shareholder of",NA,"07-MAR-2002",NA,"Panama Papers","1_node_start"
12029455,10003830,"officer_of","shareholder of",NA,"17-MAY-2001","07-MAR-2002","Panama Papers","1_node_start"
12028963,10003830,"officer_of","shareholder of",NA,"17-MAY-2001","07-MAR-2002","Panama Papers","1_node_start"
12151634,10004066,"officer_of","shareholder of",NA,"30-JAN-2004",NA,"Panama Papers","1_node_start"
12151403,10004275,"officer_of","shareholder of",NA,"21-OCT-2009",NA,"Panama Papers","1_node_start"
12142105,10004863,"officer_of","shareholder of",NA,"19-MAR-2012",NA,"Panama Papers","1_node_start"
13007347,10004863,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12155610,10005435,"officer_of","shareholder of",NA,"29-AUG-2001",NA,"Panama Papers","1_node_start"
12158596,10005435,"officer_of","shareholder of",NA,"29-AUG-2001",NA,"Panama Papers","1_node_start"
12132951,10005435,"officer_of","shareholder of",NA,"29-AUG-2001",NA,"Panama Papers","1_node_start"
12150051,10005594,"officer_of","shareholder of",NA,"31-JAN-2014",NA,"Panama Papers","1_node_start"
12163718,10006099,"officer_of","shareholder of",NA,"20-FEB-2014",NA,"Panama Papers","1_node_start"
12077983,10006137,"officer_of","shareholder of",NA,"15-MAY-2006",NA,"Panama Papers","1_node_start"
12158396,10006164,"officer_of","shareholder of",NA,"03-AUG-2015",NA,"Panama Papers","1_node_start"
12199591,10006293,"officer_of","shareholder of",NA,"23-DEC-2011","03-APR-2012","Panama Papers","1_node_start"
12195651,10006536,"officer_of","shareholder of",NA,"08-APR-2009",NA,"Panama Papers","1_node_start"
12163718,10007146,"officer_of","shareholder of",NA,"01-SEP-2011",NA,"Panama Papers","1_node_start"
12105866,10007352,"officer_of","shareholder of",NA,"25-FEB-2004",NA,"Panama Papers","1_node_start"
12224866,10007412,"officer_of","shareholder of",NA,"20-JUL-2009",NA,"Panama Papers","1_node_start"
12148044,10007642,"officer_of","shareholder of",NA,"01-FEB-2012",NA,"Panama Papers","1_node_start"
12076381,10007725,"officer_of","shareholder of",NA,"18-FEB-2003",NA,"Panama Papers","1_node_start"
12076366,10007725,"officer_of","shareholder of",NA,"18-FEB-2003",NA,"Panama Papers","1_node_start"
12076365,10007725,"officer_of","shareholder of",NA,"18-FEB-2003",NA,"Panama Papers","1_node_start"
12076392,10007725,"officer_of","shareholder of",NA,"18-FEB-2003",NA,"Panama Papers","1_node_start"
13000607,10008267,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12142159,10008442,"officer_of","shareholder of",NA,NA,"26-MAR-2014","Panama Papers","1_node_start"
12049041,10008469,"officer_of","shareholder of",NA,"23-JUN-1998","12-JUL-2004","Panama Papers","1_node_start"
12049797,10008925,"officer_of","shareholder of",NA,"28-AUG-2007",NA,"Panama Papers","1_node_start"
12142396,10009144,"officer_of","shareholder of",NA,"22-FEB-2010",NA,"Panama Papers","1_node_start"
12142278,10009214,"officer_of","shareholder of",NA,"04-JAN-2010",NA,"Panama Papers","1_node_start"
12148536,10009477,"officer_of","shareholder of",NA,"11-NOV-2015",NA,"Panama Papers","1_node_start"
13011767,10009477,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12224567,10009937,"officer_of","shareholder of",NA,"29-MAR-2004",NA,"Panama Papers","1_node_start"
12048817,10010215,"officer_of","shareholder of",NA,"19-JUL-2010","19-JUL-2010","Panama Papers","1_node_start"
12006831,10010587,"officer_of","shareholder of",NA,"13-OCT-1999",NA,"Panama Papers","1_node_start"
12167274,10011115,"officer_of","shareholder of",NA,"22-JUN-2012",NA,"Panama Papers","1_node_start"
12155295,10011291,"officer_of","shareholder of",NA,"16-DEC-2011",NA,"Panama Papers","1_node_start"
12149107,10011866,"officer_of","shareholder of",NA,"01-SEP-2008",NA,"Panama Papers","1_node_start"
12181241,10012067,"officer_of","shareholder of",NA,"05-NOV-2014",NA,"Panama Papers","1_node_start"
12092786,10012076,"officer_of","shareholder of",NA,"20-MAY-2006",NA,"Panama Papers","1_node_start"
12092787,10012076,"officer_of","shareholder of",NA,"20-MAY-2006",NA,"Panama Papers","1_node_start"
12008654,10012543,"officer_of","shareholder of",NA,"24-MAR-2014",NA,"Panama Papers","1_node_start"
12049476,10012577,"officer_of","shareholder of",NA,"28-APR-2003","12-JUL-2005","Panama Papers","1_node_start"
12197832,10013612,"officer_of","shareholder of",NA,"18-JAN-2013",NA,"Panama Papers","1_node_start"
12000634,10013963,"officer_of","shareholder of",NA,"02-MAR-2009",NA,"Panama Papers","1_node_start"
12147136,10014569,"officer_of","shareholder of",NA,"08-MAY-2007",NA,"Panama Papers","1_node_start"
12004949,10014851,"officer_of","shareholder of",NA,"02-DEC-2014",NA,"Panama Papers","1_node_start"
13006014,10014851,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12176072,10015042,"officer_of","shareholder of",NA,"02-MAY-2012",NA,"Panama Papers","1_node_start"
12221629,10015504,"officer_of","shareholder of",NA,"02-MAR-2009",NA,"Panama Papers","1_node_start"
12193061,10015543,"officer_of","shareholder of",NA,"22-JUN-2011",NA,"Panama Papers","1_node_start"
12011816,10015971,"officer_of","shareholder of",NA,"28-MAY-2010","13-JUN-2014","Panama Papers","1_node_start"
12006946,10015971,"officer_of","shareholder of",NA,"13-JUN-2014",NA,"Panama Papers","1_node_start"
12194335,10016062,"officer_of","shareholder of",NA,"23-JUN-2011",NA,"Panama Papers","1_node_start"
12222476,10016133,"officer_of","shareholder of",NA,"12-FEB-2014",NA,"Panama Papers","1_node_start"
12155742,10016199,"officer_of","shareholder of",NA,"28-FEB-2013",NA,"Panama Papers","1_node_start"
12050419,10016288,"officer_of","shareholder of",NA,"14-DEC-2009",NA,"Panama Papers","1_node_start"
12049327,10016288,"officer_of","shareholder of",NA,"14-DEC-2009",NA,"Panama Papers","1_node_start"
12050424,10016288,"officer_of","shareholder of",NA,"14-DEC-2009",NA,"Panama Papers","1_node_start"
12170433,10016740,"officer_of","shareholder of",NA,"17-DEC-2009",NA,"Panama Papers","1_node_start"
12132997,10016814,"officer_of","shareholder of",NA,"12-MAR-2015",NA,"Panama Papers","1_node_start"
13006080,10016814,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12142723,10017067,"officer_of","shareholder of",NA,"04-FEB-2015","17-APR-2015","Panama Papers","1_node_start"
13000458,10017067,"officer_of","beneficiary of",NA,NA,NA,"Panama Papers","1_node_start"
12222476,10017597,"officer_of","shareholder of",NA,"12-FEB-2014",NA,"Panama Papers","1_node_start"
12151240,10017861,"officer_of","shareholder of",NA,"10-MAR-2007",NA,"Panama Papers","1_node_start"
