"","year","cultivation_hectares"
"1",1987,26000
"2",1988,34000
"3",1989,42000
"4",1990,40000
"5",1991,38000
"6",1992,37000
"7",1993,40000
"8",1994,45000
"9",1995,51000
"10",1996,67000
"11",1997,79000
"12",1998,102000
"13",1999,160000
"14",2000,163000
"15",2001,145000
"16",2002,102000
"17",2003,86000
"18",2004,80000
"19",2005,86000
"20",2006,78000
"21",2007,99000
"22",2008,81000
"23",2009,73000
"24",2010,62000
"25",2011,64000
"26",2012,48000
"27",2013,48000
"28",2014,69000
"29",2015,96000
"30",2016,146000
"31",2017,171000
"32",2018,169000
"33",2019,154000
"34",2020,143000
"35",2021,204000
"36",2022,230000
