"","Year","tot_seizure","tot_tonne"
"1",1990,584442,584.442
"2",1991,212630,212.63
"3",1992,154629,154.629
"4",1993,32477.881988525,32.477881988525
"5",1994,571514,571.514
"6",1995,453246,453.246
"7",1996,731797,731.797
"8",1997,159861,159.861
"9",1998,448455,448.455
"10",1999,367294,367.294
"11",2000,1002917,1002.917
"12",2001,75670.165,75.670165
"13",2002,758579,758.579
"14",2003,834292,834.292
"15",2004,750071.94,750.07194
"16",2005,882884.051,882.884051
"17",2006,1025340.313,1025.340313
"18",2007,1290125.242,1290.125242
"19",2008,903851.049,903.851049
"20",2009,1127114.53,1127.11453
"21",2010,1086147.493,1086.147493
"22",2011,1237514,1237.514
"23",2012,958290.47,958.29047
"24",2013,531792.95,531.79295
"25",2014,244732.42,244.73242
"26",2015,1076288.3496,1076.2883496
"27",2016,1448534.701,1448.534701
"28",2017,1100894,1100.894
"29",2018,915883,915.883
"30",2019,986770,986.77
"31",2020,1126620.17,1126.62017
"32",2021,1480331.56,1480.33156
