node_id,name,jurisdiction,company_type,address,incorporation_date,inactivation_date,dorm_date,status,struck_off_date,country_codes,sourceID,valid_until,term,origin,valid_until_year,incorporation_date_form,incorporation_year,inactivation_date_form,inactivation_year,dorm_date_form,dorm_date_year,struck_off_date_form,struck_off_date_year,avg_officers,years_operative,tax_haven,avg_colombians,name_2,type,subtype
10170717,MALE OVERSEAS S.A.,PMA,NA,ANA MARIA SERRANO BARONA DIAG 127 B NO. 72-26; KALATRABA; BOGOTA COLOMBIA,27-APR-2015,NA,NA,Active,NA,COL,Panama Papers,2015,OREJUELA,Officer,2015-12-31,2015-04-26T22:00:00Z,2015,NA,NA,NA,NA,NA,NA,-0.20665724777736996,-1.046198537002665,1,-0.1625561491524927,MALE OVERSEAS S.A.,B2BC,Referral Services
10162469,ADAMSWOOD BUSINESS S.A.,PMA,NA,EDUARDO ENRIQUE RODRIGUEZ MUÑOZ CRA 2A NO 70 - 09 (501) BOGOTA - COLOMBIA,01-AUG-2012,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2012-07-31T22:00:00Z,2012,NA,NA,NA,NA,NA,NA,-0.20665724777736996,-0.7477200754940438,1,-0.1625561491524927,ADAMSWOOD BUSINESS S.A.,B2BC,Dealer
10160747,ALGISA MANAGEMENT CORP.,PMA,NA,MORENO & ASSOCIATES TRADE FACILITORS CALLE 66 NO. 3-19 OF 402 BOGOTA COLOMBIA,14-APR-2011,16-JUL-2014,NA,Defaulted,15-JUL-2014,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2011-04-13T22:00:00Z,2011,2014-07-15T22:00:00Z,2014,NA,NA,2014-07-14T22:00:00Z,2014,-0.5208729291320175,-0.7477200754940438,1,-0.1625561491524927,ALGISA MANAGEMENT CORP.,B2BC,Residential/Commercial
10172746,SORBELIA INTERNATIONAL S.A.,PMA,NA,ECHAVARRIA ABOGADOS CALLE 3 SUR NO 43 A 52; OFICINA 1005; TORRE ULTRABURSÁTILES; 43 AVENIDA; MEDELLIN COLOMBIA,20-JUL-2005,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2005-07-19T22:00:00Z,2005,NA,NA,NA,NA,NA,NA,-0.32091749554269633,-0.051270331973928024,1,-0.1625561491524927,SORBELIA INTERNATIONAL S.A.,B2BC,Referral Services
10207103,GLENVILLE MANAGEMENT LTD.,BVI,NA,BARRIOS  VELEZ & ASOCIADOS CALLE 79 A; NO. 8 - 63; PISO 6 BOGOTÁ; COLOMBIA,07-SEP-2010,NA,NA,Defaulted,30-APR-2012,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2010-09-06T22:00:00Z,2010,NA,NA,NA,NA,2012-04-29T22:00:00Z,2012,3.2497152471237536,-0.5487344344882965,1,-0.1625561491524927,GLENVILLE MANAGEMENT LTD.,B2BC,Residential/Commercial
10164727,THORLEY ENTERPRISES INC.,PMA,NA,MOSSFON MANAGERS LTD. SAFFREY SQUARE; SUITE 205; BANK LANE P.O. BOX N-8188 NASSAU **S.I**; NEW PROVIDENCE ISLAND BAHAMAS,11-JUL-2011,21-JAN-2015,NA,Defaulted,15-JAN-2015,BHS,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2011-07-10T22:00:00Z,2011,2015-01-20T23:00:00Z,2015,NA,NA,2015-01-14T23:00:00Z,2015,-0.5837160654029471,-0.6482272549911702,1,-0.1625561491524927,THORLEY ENTERPRISES INC.,B2BC,Contractor
10162496,BESOLAR S.A.,PMA,NA,CONSULTORIA Y GESTION INTEGRAL CALLE 11B N 31A-18 POBLADO-LALINDE MEDELLIN COLOMBIA,02-MAR-2012,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2012-03-01T23:00:00Z,2012,NA,NA,NA,NA,NA,NA,-0.5208729291320175,-0.7477200754940438,1,-0.1625561491524927,BESOLAR S.A.,B2BC,Contractor
10165412,"FACTORING CONSULTING, S.A.",PMA,NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",04-SEP-2007,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2007-09-03T22:00:00Z,2007,NA,NA,NA,NA,NA,NA,0.037732726609578146,-0.2502559729796754,1,-0.1625561491524927,"FACTORING CONSULTING, S.A.",B2BC,Computer Services
10162481,KIRKVIEW HOLDINGS S.A.,PMA,NA,"CARRERA 43A NO 9 SUR - 91 TORRE NORTE OFC. 1104   MEDELLIN,COLOMBIA MEDELLIN COLOMBIA",02-AUG-2012,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2012-08-01T22:00:00Z,2012,NA,NA,NA,NA,NA,NA,-0.20665724777736996,-0.7477200754940438,1,-0.1625561491524927,KIRKVIEW HOLDINGS S.A.,B2BC,Residential/Commercial
10159420,BROMPTON CONTRACTORS INC.,PMA,NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",05-AUG-2011,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2011-08-04T22:00:00Z,2011,NA,NA,NA,NA,NA,NA,NA,-0.6482272549911702,1,NA,BROMPTON CONTRACTORS INC.,B2BC,Contractor
10028355,HIGH QUALITY SERVICES INC.,PMA,NA,HIGH QUALITY SERVICES INC. 1601 NW 97TH AVE.  P.O. BOX 025207 MIAMI FL 33102-5207 PTY 35407 U.S.A.,13-MAY-2003,08-JUL-2004,NA,Defaulted,30-JUN-2005,USA,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2003-05-12T22:00:00Z,2003,2004-07-07T22:00:00Z,2004,NA,NA,2005-06-29T22:00:00Z,2005,-0.5208729291320175,-0.9467057164997913,1,-0.1625561491524927,HIGH QUALITY SERVICES INC.,B2B,Janitorial Services
10172071,Latin American Sports Holding Corp.,PMA,NA,"STEFAN MICHAEL HOFMANN RAMISTRASSE 6, 8001 ZÚRICH  SWITZERLAND",07-OCT-2014,NA,NA,Active,NA,CHE,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2014-10-06T22:00:00Z,2014,NA,NA,NA,NA,NA,NA,1.0502054776412204,-0.9467057164997913,1,-0.1625561491524927,Latin American Sports Holding Corp.,B2BC,Dealer
10209967,Katze Global Limited,BVI,NA,ELISA LONDONO AVENIDA 9 NORTE; #12-55 CALI; COLOMBIA,01-APR-2014,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2014-03-31T22:00:00Z,2014,NA,NA,NA,NA,NA,NA,-0.5208729291320175,-0.9467057164997913,1,1.513836266651398,Katze Global Limited,B2BC,Financial Services
10185390,SCS INVESTMENTS SOCIEDAD ANONIMA,CRI,NA,MARIA CAROLINA RESTREPO CAÑAVERA CARRERA 11 NO. 94 – 47 OFICINA 702 BOGOTÁ – COLOMBIA BOGOTA COLOMBIA,28-AUG-2014,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2014-08-27T22:00:00Z,2014,NA,NA,NA,NA,NA,NA,-0.5208729291320175,-0.9467057164997913,0,1.513836266651398,SCS INVESTMENTS SOCIEDAD ANONIMA,B2BC,Residential/Commercial
10158235,ALICE CAPITAL GROUP INC.,BVI,NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",18-AUG-2015,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2015-08-17T22:00:00Z,2015,NA,NA,NA,NA,NA,NA,0.7359897962865729,-1.046198537002665,1,8.21940592986696,ALICE CAPITAL GROUP INC.,B2BC,Financial Services
10156277,SANTERRA CORPORATION,BVI,NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",01-SEP-2015,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2015-08-31T22:00:00Z,2015,NA,NA,NA,NA,NA,NA,-0.5208729291320175,-1.046198537002665,1,1.513836266651398,SANTERRA CORPORATION,B2BC,Residential/Commercial
10209481,STOCKLAND CONSULTANTS CORP.,BVI,NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",12-OCT-2015,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2015-10-11T22:00:00Z,2015,NA,NA,NA,NA,NA,NA,-0.5208729291320175,-1.046198537002665,1,1.513836266651398,STOCKLAND CONSULTANTS CORP.,B2BC,Contractor
10171047,Inversiones Zaragoza Associates S.A.,PMA,NA,SENTIDO LEGAL DIRECCIÓN CRA. 43 A NO. 16 A SUR-38 OFICINA 602 EDIFICIO DHL MEDELLIN COLOMBIA,07-MAY-2014,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2014-05-06T22:00:00Z,2014,NA,NA,NA,NA,NA,NA,0.10755843357727765,-0.9467057164997913,1,4.86662109825918,Inversiones Zaragoza Associates S.A.,B2BC,Security Services
10157719,ASPEN FINANCE S.A.,PMA,NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",03-OCT-2011,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2011-10-02T22:00:00Z,2011,NA,NA,NA,NA,NA,NA,-0.20665724777736996,-0.6482272549911702,1,3.1902286824552886,ASPEN FINANCE S.A.,B2BC,Financial Services
10157720,DIRKTON PROPERTIES INC.,PMA,NA,"CONTEXTO LEGAL CALLE 11B, NO. 41 - 53  LOMA LALINDE MEDELLIN COLOMBIA",03-OCT-2011,NA,NA,Active,NA,COL,Panama Papers,2015,LONDOÑO,Officer,2015-12-31,2011-10-02T22:00:00Z,2011,NA,NA,NA,NA,NA,NA,-0.20665724777736996,-0.6482272549911702,1,3.1902286824552886,DIRKTON PROPERTIES INC.,B2BC,Residential/Commercial
82001793,EPI - Ecopetrol Pipelines International Limited,BM,NA,NA,05-SEP-1994,NA,NA,NA,NA,BMU;CAN;COL,Paradise Papers - Appleby,2014,LONDOÑO,Officer,2014-12-31,1994-09-04T22:00:00Z,1994,NA,NA,NA,NA,NA,NA,0.7359897962865729,0.943657873054809,1,1.2743516358222706,EPI - Ecopetrol Pipelines International Limited,B2B,Wholesale  Dealer
240030622,NEWTON HOPS INTERNATIONAL LTD.,BVI,Business Corporation,NA,22-APR-1991,NA,NA,Active,NA,VGB,"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",2017,LONDOÑO,Officer,2017-12-31,1991-04-21T22:00:00Z,1991,NA,NA,NA,NA,NA,NA,NA,1.540614796072051,1,NA,NEWTON HOPS INTERNATIONAL LTD.,B2B,Wholesale  Dealer
240027247,HL INTELLECTUAL CORP.,BVI,Business Corporation,NA,29-SEP-2011,NA,NA,Active,NA,VGB,"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",2017,LONDOÑO,Officer,2017-12-31,2011-09-28T22:00:00Z,2011,NA,NA,NA,NA,NA,NA,NA,-0.4492416139854228,1,NA,HL INTELLECTUAL CORP.,B2BC,Financial Services
240020664,WEYVIEW INVESTMENTS LTD.,BVI,Business Corporation,NA,08-APR-2003,NA,NA,Active,NA,VGB,"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",2018,LONDOÑO,Officer,2018-12-31,2003-04-07T22:00:00Z,2003,NA,NA,NA,NA,NA,NA,NA,0.44619377054044046,1,NA,WEYVIEW INVESTMENTS LTD.,B2BC,Residential/Commercial
240027662,PARMA ROSES LIMITED,BVI,Business Corporation,NA,10-JUN-2009,NA,NA,Active,NA,VGB,"Pandora Papers - Alemán, Cordero, Galindo & Lee (Alcogal)",2017,LONDOÑO,Officer,2017-12-31,2009-06-09T22:00:00Z,2009,NA,NA,NA,NA,NA,NA,NA,-0.2502559729796754,1,NA,PARMA ROSES LIMITED,B2BC,Dealer
10166589,REDLANE TRADING INC.,PMA,NA,JOSE LUIS ABRIL CRUZ DIAGONAL 54 NO. 16-34 BOGOTA COLOMBIA,30-SEP-2013,NA,NA,Active,NA,COL,Panama Papers,2015,BUITRAGO,Officer,2015-12-31,2013-09-29T22:00:00Z,2013,NA,NA,NA,NA,NA,NA,-0.5208729291320175,-0.8472128959969176,1,-0.1625561491524927,REDLANE TRADING INC.,B2B,Wholesale  Dealer
10017861,OXFORD MARKETING GROUP LTD.,SEY,NA,BRIGHT SIDE S.A. RUTA 8 KM. 17500 LOCAL 207  CP 91600  ZONAMÉRICA-MONTEVIDEO URUGUAY *S.I.*,01-MAR-2007,NA,NA,Active,NA,URY,Panama Papers,2015,BUITRAGO,Officer,2015-12-31,2007-02-28T23:00:00Z,2007,NA,NA,NA,NA,NA,NA,-0.5208729291320175,-0.2502559729796754,1,-0.1625561491524927,OXFORD MARKETING GROUP LTD.,B2BC,Computer Services
10137841,ORBIS RESOURCES LTD.,BVI,NA,DR. ALBERTO J.PAREDES PAREDES & ASOCIADOS TORRE SFC; PISO 21 CALLE 55; OBARRIO PANAMA; REPUBLIC OF PANAMA PANAMA PANAMA,11-FEB-2009,NA,NA,Active,NA,PAN,Panama Papers,2015,BUITRAGO,Officer,2015-12-31,2009-02-10T23:00:00Z,2009,NA,NA,NA,NA,NA,NA,0.10755843357727765,-0.4492416139854228,1,-0.1625561491524927,ORBIS RESOURCES LTD.,B2B,Wholesale  Dealer
