,company_name,company_type,company_subtype
0,MALE OVERSEAS S.A.,B2BC,Referral Services
1,ADAMSWOOD BUSINESS S.A.,B2BC,Dealer
2,ALGISA MANAGEMENT CORP.,B2BC,Residential/Commercial
3,SORBELIA INTERNATIONAL S.A.,B2BC,Referral Services
4,GLENVILLE MANAGEMENT LTD.,B2BC,Residential/Commercial
5,THORLEY ENTERPRISES INC.,B2BC,Contractor
6,BESOLAR S.A.,B2BC,Contractor
7,"FACTORING CONSULTING, S.A.",B2BC,Computer Services
8,KIRKVIEW HOLDINGS S.A.,B2BC,Residential/Commercial
9,BROMPTON CONTRACTORS INC.,B2BC,Contractor
10,HIGH QUALITY SERVICES INC.,B2B,Janitorial Services
11,Latin American Sports Holding Corp.,B2BC,Dealer
12,Katze Global Limited,B2BC,Financial Services
13,SCS INVESTMENTS SOCIEDAD ANONIMA,B2BC,Residential/Commercial
14,ALICE CAPITAL GROUP INC.,B2BC,Financial Services
15,SANTERRA CORPORATION,B2BC,Residential/Commercial
16,STOCKLAND CONSULTANTS CORP.,B2BC,Contractor
17,Inversiones Zaragoza Associates S.A.,B2BC,Security Services
18,ASPEN FINANCE S.A.,B2BC,Financial Services
19,DIRKTON PROPERTIES INC.,B2BC,Residential/Commercial
20,EPI - Ecopetrol Pipelines International Limited,B2B,Wholesale  Dealer
21,NEWTON HOPS INTERNATIONAL LTD.,B2B,Wholesale  Dealer
22,HL INTELLECTUAL CORP.,B2BC,Financial Services
23,WEYVIEW INVESTMENTS LTD.,B2BC,Residential/Commercial
24,PARMA ROSES LIMITED,B2BC,Dealer
25,REDLANE TRADING INC.,B2B,Wholesale  Dealer
26,OXFORD MARKETING GROUP LTD.,B2BC,Computer Services
27,ORBIS RESOURCES LTD.,B2B,Wholesale  Dealer
28,ROSBAN INVESTMENT INC,B2BC,Residential/Commercial
29,ROSBAN FOUNDATION,PUB,Community Association
30,Maxseguros EPM Ltd.,B2BC,Contractor
31,MR. SHRIMP SNACK TRUCK,B2BC,Food
32,LOS ALPES SNACK,B2BC,Food
33,STICHTING DUSHI CARNIVAL GROUP,B2BC,Entertainment Services
34,STYLES AND NAILS BEAUTY AND SPA,B2C,Health and Beauty
35,VILLERABAGO APARTMENT V.O.F,B2BC,Residential/Commercial
36,JARAMILLO & SANCHEZ CONSTRUCTION N.V.,B2BC,Contractor
37,MATH'S EXPRESS,B2BC,Instruction
38,BEAUSOLEIL FINANCE INC.,B2BC,Financial Services
39,DERMAC INVESTMENTS CORP.,B2BC,Residential/Commercial
40,RASOL GROUP CORPORATION,B2BC,Contractor
41,CENTRO DE TELEFONIA MOVIL PANAMA S.A.,B2BC,Entertainment Services
42,Maple Tree Capital - Panamá Inc.,B2BC,Financial Services
43,TCC INVERSIONES S.A.,B2BC,Security Services
44,KEYMERE CORP.,B2BC,Dealer
45,MEYLAND HOLDINGS LTD.,B2BC,Residential/Commercial
46,VERDI CORPORATION,B2BC,Contractor
47,FLY NORTH NEW ZEALAND LIMITED,B2BC,Travel Agent
48,ROYCE INVESTMENT GROUP CORP.,B2BC,Residential/Commercial
49,NOAH CORPORATION,B2BC,Contractor
50,WAYDEN INTERNATIONAL LTD.,B2B,Wholesale  Dealer
51,BLUERING FINANCE CORP.,B2BC,Financial Services
52,TRADEBRIDGE S.A.,B2BC,Contractor
53,Gruguer Enterprise Corp.,B2BC,Dealer
54,GLOBAL JUICES INC.,B2BC,Food
55,"PSICO CONSULT, INC.",B2BC,Computer Services
