entity_id,entity_name,jurisdiction,tax_haven,linked_country,colombia_con,inactivation,struck_off,year,nr_officers,nr_shareholders,nr_owners,nr_management,nr_support,nr_legal,nr_others,nr_colombians
10170717,MALE OVERSEAS S.A.,PMA,1,COL,1,0,0,2015,2,2,0,0,0,0,0,0
10162469,ADAMSWOOD BUSINESS S.A.,PMA,1,COL,1,0,0,2012,2,2,0,0,0,0,0,0
10162469,ADAMSWOOD BUSINESS S.A.,PMA,1,COL,1,0,0,2013,2,2,0,0,0,0,0,0
10162469,ADAMSWOOD BUSINESS S.A.,PMA,1,COL,1,0,0,2014,2,2,0,0,0,0,0,0
10162469,ADAMSWOOD BUSINESS S.A.,PMA,1,COL,1,0,0,2015,2,2,0,0,0,0,0,0
10160747,ALGISA MANAGEMENT CORP.,PMA,1,COL,1,0,0,2011,1,1,0,0,0,0,0,0
10160747,ALGISA MANAGEMENT CORP.,PMA,1,COL,1,0,0,2012,1,1,0,0,0,0,0,0
10160747,ALGISA MANAGEMENT CORP.,PMA,1,COL,1,0,0,2013,1,1,0,0,0,0,0,0
10160747,ALGISA MANAGEMENT CORP.,PMA,1,COL,1,1,1,2014,1,1,0,0,0,0,0,0
10172746,SORBELIA INTERNATIONAL S.A.,PMA,1,COL,1,0,0,2005,0,0,0,0,0,0,0,0
10172746,SORBELIA INTERNATIONAL S.A.,PMA,1,COL,1,0,0,2006,0,0,0,0,0,0,0,0
10172746,SORBELIA INTERNATIONAL S.A.,PMA,1,COL,1,0,0,2007,0,0,0,0,0,0,0,0
10172746,SORBELIA INTERNATIONAL S.A.,PMA,1,COL,1,0,0,2008,0,0,0,0,0,0,0,0
10172746,SORBELIA INTERNATIONAL S.A.,PMA,1,COL,1,0,0,2009,0,0,0,0,0,0,0,0
10172746,SORBELIA INTERNATIONAL S.A.,PMA,1,COL,1,0,0,2010,4,4,0,0,0,0,0,0
