search_address,api_address,countryode,lat,lon,nr_matches,match_level
3 300MS 75ME DE LA ENTRADA PRINCIPAL DE BELLO HORIZONTE ESCAZU SAN JOSE COSTA RICA,NA,NA,NA,NA,5,NA
19 CALLE 14 60 ZONA 10 GUATEMALA GUATEMALA,"19 Calle, Proyecto Jireh, Zona 10 Mixco, Mixco, Guatemala Department, 01057, Guatemala",GTM,14.6217772,-90.5861981,6,street  
1 AVENTURA EXECUTIVE CENTER SUITE 514 AVENTURA FLORIDA 33180 UNITED STATES,"1, Executive Center Court, Little Rock, Pulaski County, Arkansas, 72211, USA",USA,34.73768,-92.403965,10,building  
1 CHEMIN ROMAIN 06320 CAP D AIL FRANCE,"Chemin Romain, Cap-d'Ail, Nice, Maritime Alps, Provence-Alpes-Côte d'Azur, Metropolitan France, 06320, France",FRA,43.7257712,7.4004859,2,street  
1 RUE DU PRÉ DE LA BICHETTE 1202 GENEVA SWITZERLAND,"1, Rue Du Pré-de-la-Bichette, Vermont, Geneva, Genève, Geneva, 1202, Switzerland",CHE,46.220662,6.135496,1,building  
1055/221 STATE TOWER 20TH FLOOR SILOM ROAD SILOM BANGRAK BANGKOK 10500 THAILAND,"Bangkok, Sai Mai, Bangkok, Thailand",THA,13.881591,100.644533,3,city  
106 140 CASA 32 CONJ RES LA CASTELLANA BARRANQUILLA COLOMBIA,NA,NA,NA,NA,5,NA
10911 NW3 PLANTATION FL USA UNITED STATES,NA,NA,NA,NA,5,NA
10F 11 FORTUNE CENTER 51 NANHAI AVENUE GIU CHENG FO SHAN CHINA,"3031, Nanhai Avenue, Shenzhen, Shenzhen, Guangdong, China",CHN,22.545627,113.926373,6,building  
11050 N KENDALL DR 106 MIAMI FLORIDA 33176 UNITED STATES,"10690, North Kendall Drive, West Kendall, Miami, Miami-Dade County, Florida, 33176, USA",USA,25.686648,-80.365537,10,building  
11 CROFT LANE BREADSALL DERBY DW21 5LE UNITED KINGDOM,"11, Croft Lane, Bottesford, North Lincolnshire, Lincolnshire, DN17 2SU, United Kingdom",GBR,53.551286,-0.666646,10,building  
1200 FOUR SEASONS TOWER 1441 BRICKELL AVENUE MIAMI FLORIDA 33131 UNITED STATES,"1441, Brickell Avenue, Miami Financial District, Miami, Miami-Dade County, Florida, 33131, USA",USA,25.75848,-80.19256,10,building  
1211 GENEVA SWITZERLAND,"Grottes et Saint-Gervais, Geneva, 1211, Switzerland",CHE,46.212008493846156,6.131921986153846,1,neighbourhood  
128 SUKHUMVIT HOUSE RM 32/C SUKHUMVIT ROAD SOI 23 BANGKOK 10110 THAILAND,"11/20, Sukhumvit Road Soi 1, Sukhumwit, Bangkok, Sai Mai, Bangkok, Thailand",THA,13.744217,100.550958,10,building  
12 AVENIDA 5 55 ZONA 1 GUATEMALA,"12 Avenida, Residenciales Las Maravillas, Zona 1 Mixco, Mixco, Guatemala Department, 01057, Guatemala",GTM,14.6314079,-90.6106016,10,street  
13791 NW 19 COURT PEMBROKE PINES FL 33028 MALTA,"Malta, Saratoga County, New York, USA",MLT,42.986764,-73.787545,10,city  
13998 NW 20 STREET PEMBROKE PINES FL 33028 MALTA,"Malta, Saratoga County, New York, USA",MLT,42.986764,-73.787545,10,city  
13 CALLE 2 60 ZONA 10 OFIC 702 TOPACIO AZUL GUATEMALA,NA,NA,NA,NA,5,NA
13 CALLE 3 10 ZONA 10 CIUDAD DE GUATEMALA,"13 Calle, Zone 10, Guatemala City, Guatemala Department, 01010, Guatemala",GTM,14.5997708,-90.516479,3,street  
14 CALLE 3 51 ZONA 10 MURANO CENTER OF 603 GUATEMALA,"17, Murano Place, Pilrig, Edinburgh, City of Edinburgh, City of Edinburgh, EH7 5HH, United Kingdom",GTM,55.961837,-3.178457,10,building  
14 CALLE 3 51 ZONA 10 MURANO CENTER OF 604 GUATEMALA,"17, Murano Place, Pilrig, Edinburgh, City of Edinburgh, City of Edinburgh, EH7 5HH, United Kingdom",GTM,55.961837,-3.178457,10,building  
15 AVE 18 28 ZONA 13 CIUDAD DE GUATEMALA GUATEMALA,"18-36, 15 Avenida, Guatemala City, Ciudad Guatemala, Guatemala, Guatemala",GTM,14.57888,-90.524818,10,building  
15 AVE 18 28 ZONA 13 GUATEMALA,"18-36, 15 Avenida, Guatemala City, Ciudad Guatemala, Guatemala, Guatemala",GTM,14.57888,-90.524818,8,building  
15 AVENIDA 14 93 ZONA 10 GUATEMALA GUATEMALA,"15 Avenida, Prados de Santa Rita, Zona 10 Mixco, Mixco, Guatemala Department, 01011, Guatemala",GTM,14.6263439,-90.5719543,4,street  
15 CALLE 7 24 ZONA 10 CIUDAD DE GUATEMALA GUATEMALA,"15 Calle, Zone 10, Guatemala City, Guatemala Department, 01010, Guatemala",GTM,14.5971071,-90.5171093,4,street  
15 MARIKIT CORNER MASAYA STREETS WEST TRIANGLE QUEZON CITY PHILIPPINES,"National Capital Region, National Capital District, Philippines",PHL,14.674285,121.073338,3,city  
16 AVENIDA “A” 4 20 ZONA 1 GUATEMALA GUATEMALA,"16 Avenida, Terranova, Zona 6 de Villa Nueva, Villa Nueva, Guatemala Department, 01064, Guatemala",GTM,14.5327061,-90.57135,10,street  
17282 NW HOLCOMB DR PORTLAND OREGON 97229 UNITED STATES,"17282, Northwest Holcomb Drive, Bethany, Portland, Washington County, Oregon, 97229, USA",USA,45.55588415,-122.85639019589738,1,building  
177 OCEAN LANE DRIVE APT 500 KEY BISCAYNE FL 33149 UNITED STATES,"Commodore Club East, 177, Ocean Lane Drive, Key Biscayne, Miami-Dade County, Florida, 33149, USA",USA,25.700046,-80.15688202417664,2,venue  
17 AVE 10 58 Z 15 VISTA HERMOSA III GUATEMALA CITY REPUBLIC OF GUATEMALA,"10, 17Th Avenue, Fish Hoek, Cape Town, City of Cape Town, Western Cape, South Africa",GTM,-34.132449,18.416819,10,building  
2/B MANGGA ST LITTLE BAGUIO SAN JUAN METRO MANILA PHILIPPINES,"Mangga Street, Prospect Subdivision, 2nd District, San Juan, Eastern Manila District, Metro Manila, 0410, Philippines",PHL,14.6003366,121.0370769,1,street  
2000 PONCE DE LEON BOULEVARD SUITE 625 CORAL GABLES FL 33134 USA UNITED STATES,"Deer, Osage County, Missouri, USA",USA,38.62199,-91.79684,3,city  
200 MTS NORTE Y 100 OESTE DE LA GUARDIA RURAL DE SAN ANTONIO DE ESCAZU SAN JOSE COSTA RICA,"100M, Oeste de Bar La Perla, Santa Cruz, Guanacaste, Costa Rica",CRI,10.446503,-85.769807,10,building  
20 CALLE 19 52 ZONA 10 INTERIOR 01 EGYPT,NA,NA,NA,NA,5,NA
21050 NE 38TH AVE APT 821 AVENTURA FL 33180 4075 UNITED STATES,"21050, Northeast 38th Avenue, Aventura, Aventura, Miami-Dade County, Florida, 33180, USA",USA,25.971232,-80.124502,1,building  
21150 NE 38TH AVENUE 1003 AVENTURA FL 33180 UNITED STATES,"21150, NE 38th Avenue, Miami, Miami-Dade County, Florida, 33180, USA",USA,25.972154,-80.12468,1,building  
24 SLOANE COURT EAST FLAT 2 LONDON UNITED KINGDOM,"Sloane Court East, Chelsea, London, Greater London, SW3 4TQ, United Kingdom",GBR,51.48974,-0.156703,1,street  
269 LENOX ST NEW HAM C T U S A UNITED STATES,"A, Seward County, Nebraska, USA",USA,41.002698,-96.967775,5,city  
2 HAVEN MEWS LONDON N1 1LQ UNITED KINGDOM,"Haven Mews, Bow Common, Limehouse, London Borough of Tower Hamlets, London, Greater London, England, E3 4AG, United Kingdom",GBR,51.5174247,-0.0323726,1,street  
2 RUE DE JARGONNANT 1206 GENEVA SWITZERLAND,"2, Rue de Jargonnant, Les Eaux-Vives, Eaux-Vives, Geneva, 1207, Switzerland",CHE,46.2010637,6.1598019,1,building  
2 SOUTH BISCAYNE BLVD 3200 MIAMI FLA 33131 UNITED STATES,"200, South Biscayne Boulevard, Miami Government District, Miami, Miami-Dade County, Florida, 33131, USA",USA,25.77188,-80.18724,10,building  
3ª STREET A 28 90 COLONIA SAN LAZARO ZONE 15 CONDOMINIO LA ESCALADA HOUSE NO 8 SANTA CATARINA PINULA GUATEMALA,"Santa Catarina Pinula, Santa Catarina Pinula, Guatemala, Guatemala",GTM,14.56889,-90.49528,1,city  
300 SOUTH POINTE DR UNIT 2401 MIAMI BEACH FL 33139 UNITED STATES,"Portofino Tower, 300, South Pointe Drive, South Beach, Miami Beach, Miami-Dade County, Florida, 33139, USA",USA,25.767723699999998,-80.13504424482201,2,venue  
32565B GOLDEN LANTERN ST 111 DANA POINT CA 92629 3248 UNITED STATES,"32361, Golden Lantern Street, Laguna Niguel, Orange County, California, 92677, USA",USA,33.492576,-117.696977,10,building  
3370 MARY STREET MIAMI FL 33133 U S A UNITED STATES,"3370, Mary Street, Dinner Key, Miami, Miami-Dade County, Florida, 33133, USA",USA,25.7288118,-80.2396861,2,building  
3620 AVENIDA CORAL SPRING MIAMI FLORIDA F 133065 UNITED STATES,"F, Seward County, Nebraska, USA",USA,40.921422,-97.183065,1,city  
3A AVENIDA 13 78 ZONA 10 TORRE CITIBANK OF 601 GUATEMALA GUATEMALA,"Guatemala City, Ciudad Guatemala, Guatemala, Guatemala",GTM,14.64072,-90.51327,3,city  
3 PLACE BERGUES 1211 GENEVA 1 SWITZERLAND,"3, Place Des Bergues, Le Prieuré, Geneva, Genève, Geneva, 1201, Switzerland",CHE,46.206955,6.146031,10,building  
3 PLACE DES BERGUES SWITZERLAND,"3, Place des Bergues, Grottes et Saint-Gervais, Geneva, 1201, Switzerland",CHE,46.2069561,6.1462165,1,building  
3 PLACE DES BERGUES 1201 GENEVA SWITZERLAND,"3, Place des Bergues, Grottes et Saint-Gervais, Geneva, 1201, Switzerland",CHE,46.2069561,6.1462165,1,building  
3 PLACE DES BERGUES 1201 GENEVE SWITZERLAND,"3, Place des Bergues, Grottes et Saint-Gervais, Geneva, 1201, Switzerland",CHE,46.2069561,6.1462165,1,building  
4018 WEST 16TH AVENUE VANCOUVER BC CANADA,"West 16th Avenue, Arbutus-Ridge, Vancouver, Metro Vancouver Regional District, British Columbia, V6L, Canada",CAN,49.2576247,-123.170462,10,street  
409 SW 120TH AVE FLORIDA ESTADOS UNIDOS UNITED STATES,"409, SW 120th Avenue, Pembroke Pines, Broward County, Florida, 33025, USA",USA,26.003284,-80.308295,1,building  
409 SW 120TH AVE FLORIDA USA UNITED STATES,"1206, Swifts Highway, Jefferson City, Cole County, Missouri, 65109, USA",USA,38.569162,-92.191823,1,building  
42 RUE DU DECEMBRE 1211 GENEVA SWITZERLAND,"42, Rue Du 31-Décembre, Les Vollandes, Geneva, Genève, Geneva, 1207, Switzerland",CHE,46.202197,6.160871,1,building  
42 RUE DU DECEMBRE PO BOX 6193 1211 GENEVA 6 SWITZERLAND,"42, Rue Du 31-Décembre, Les Vollandes, Geneva, Genève, Geneva, 1207, Switzerland",CHE,46.202197,6.160871,1,building  
4A CALLE 23 03 DE LA ZONA 14 DE LA CIUDAD DE GUATEMALA,"4a Calle, Zone 14, Guatemala City, Guatemala Department, 01014, Guatemala",GTM,14.5827382,-90.5030363,2,street  
4TH FLOOR JANA BUILDING EMBASSIES ST BIR HASSAN BAABDA MOUNT LEBANON,"Mount Lebanon Township, Allegheny County, Pennsylvania, USA",LBN,40.3746,-80.05266,10,city  
500 NORTE 100 ESTE SOBRE AV PPL LOS LAURELES ESCAZU SAN JOSE COSTA RICA,"San Jose Costa Rica, San Juan Lachao, Oaxaca, Mexico",CRI,16.14222,-97.08806,2,city  
520 BRICKELL KEY DR APT 1102 MIAMI – FLORIDA 33131 USA UNITED STATES,"Deer, Osage County, Missouri, USA",USA,38.62199,-91.79684,3,city  
5A AVENIDA 15 45 ZONA 10 CENTRO EMPRESARIAL TORRE 1 OF 608 CIUDAD GUATEMALA REPUBLICA DE GAUTEMALA,NA,NA,NA,NA,5,NA
5A AVENIDA 18 48 ZONA 14 APARTAMENTO 7 EDIFICIO PREMIERE VIATOSCANA GUATEMALA GUATEMALA,"Guatemala City, Ciudad Guatemala, Guatemala, Guatemala",GTM,14.64072,-90.51327,3,city  
5A AVENUE 5 55 ZONE 14 EUROPLAZA TORRE II BUILDING OFFICE 504 GUATEMALA,"Guatemala City, Ciudad Guatemala, Guatemala, Guatemala",GTM,14.64072,-90.51327,9,city  
5 A STREET CARRERA 35 39 MEDELLÍN ANTIOQUÍA COLOMBIA,NA,NA,NA,NA,5,NA
6135 NW 167 ST E 18 MIAMI FL 33015 UNITED STATES,"6135, Northwest 167th Street, Miami Lakes, Miami Gardens, Miami-Dade County, Florida, 33015, USA",USA,25.9251434,-80.3005162,10,building  
