"node_id","name","original_name","former_name","jurisdiction","jurisdiction_description","company_type","address","internal_id","incorporation_date","inactivation_date","struck_off_date","dorm_date","status","service_provider","ibcRUC","country_codes","countries","sourceID","valid_until","note","term"
10067562,"SANTACRUZ INTERNATIONAL COMPANY INC.","SANTACRUZ INTERNATIONAL COMPANY INC.","","BVI","British Virgin Islands","","UNION BANCAIRE PRIVEE UBP RUE DU RHONE 96-98  1204, GENEVA SWITZERLAND",516316,"03-JAN-1996","23-FEB-2007","31-OCT-2007","","Defaulted","Mossack Fonseca","171411","CHE","Switzerland","Panama Papers","The Panama Papers data is current through 2015","","SANTACRUZ"
218096,"SANTACRUZ UNIVERSAL LIMITED","","","XXX","Undetermined","Standard Company under IBC Act","Arosemena, Noriega & Contreras Edificio Banco Do Brasil Calle El Vira Mendez Apartado 0816-01560, Zona 5 Panama Republic of Panama RT BVI",NA,"11-OCT-1999","","","","Transferred OUT","Commonwealth Trust Limited","347549","XXX;PAN","Not identified;Panama","Offshore Leaks","The Offshore Leaks data is current through 2010","","SANTACRUZ"
10085043,"HERRERA LIMITED","HERRERA LIMITED","","BVI","British Virgin Islands","","HERRERA LIMITED C/O IVAN TANG & CO. ROOM 1801; 18TH FLOOR PARK-IN COMMERCIAL CENTRE NO. 56 DUNDAAS STREET; MONGKOK KOWLOON; HONG KONG",536504,"18-APR-2000","01-NOV-2002","31-OCT-2002","","Defaulted","Mossack Fonseca","383483","HKG","Hong Kong","Panama Papers","The Panama Papers data is current through 2015","","HERRERA"
20067472,"HERRERA INTERNATIONAL LTD.","HERRERA INTERNATIONAL LTD.","","BAH","Bahamas","","",67472,"21-OCT-1997","","31-DEC-1998","","","","67472B","","","Bahamas Leaks","The Bahamas Leaks data is current through early 2016.","","HERRERA"
85020967,"EXPORTACIONES HERRERA A.V.V.","","","AW","Aruba","","",NA,"17-OCT-1996","","29-DEC-2006","","","","","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","","HERRERA"
85035901,"FUNDACION INSTITUTO FORMACION POLITICO DIGNA LACLE-HERRERA","","","AW","Aruba","","",NA,"04-APR-2006","","","","","","","","","Paradise Papers - Aruba corporate registry","Aruba corporate registry data is current through 2016","","HERRERA"
100301390,"HERRERA FURNITURE LIMITED","","","BRB","Barbados","","",NA,"02-APR-1973","","","","","","","BRB","Barbados","Paradise Papers - Barbados corporate registry","Barbados corporate registry data is current through 2016","","HERRERA"
200142284,"HERRERA PARTNERS INC.","","","KNA","Saint Kitts and Nevis","","",NA,"23-AUG-2013","","","","","","","","","Paradise Papers - Nevis corporate registry","Nevis corporate registry data is current through 2016","","HERRERA"
200506387,"HERRERA ENTERPRISES, LLC","","","KNA","Saint Kitts and Nevis","","",NA,"08-JUL-2004","","01-AUG-2006","","","","","","","Paradise Papers - Nevis corporate registry","Nevis corporate registry data is current through 2016","","HERRERA"
55051407,"HERRERA MARITIME SECURITY LTD","","","MLT","Malta","","",NA,"10-MAY-2012","","","","","","C56264","MLT","Malta","Paradise Papers - Malta corporate registry","Malta corporate registry data is current through 2016","","HERRERA"
55059764,"HERRERA HOLDINGS LIMITED","","","MLT","Malta","","",NA,"07-FEB-2014","","","","","","C63786","MLT","Malta","Paradise Papers - Malta corporate registry","Malta corporate registry data is current through 2016","","HERRERA"
55059767,"HERRERA MANAGEMENT LIMITED","","","MLT","Malta","","",NA,"07-FEB-2014","","","","","","C63789","MLT","Malta","Paradise Papers - Malta corporate registry","Malta corporate registry data is current through 2016","","HERRERA"
240554178,"E & A HERRERA REVOCABLE TRUST","","","USA","Florida","","",NA,"02-APR-2018","","","","","","","","","Pandora Papers - CILTrust International","Provider data is current through 1970","","HERRERA"
10002947,"VALENCIA EQUITIES S.A.","VALENCIA EQUITIES S.A.","","SAM","Samoa","","MOSSACK FONSECA & CO. MOSSFON BUILDING CALLE 54 ESTE PANAMA, REPUBLICA DE PANAMA",1003117,"03-JAN-2008","","15-FEB-2010","","Shelf company","Mossack Fonseca","35748","PAN","Panama","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10011931,"VALENCIA EQUITIES S.A.","VALENCIA EQUITIES S.A.","","PMA","Panama","","MOSSACK FONSECA & CO. (PERU) CORP. SAFFREY SQUARE SUITE 205; BANK LANE P. O. BOX N-8188 NASSAU; BAHAMAS **S.I.**",18922,"28-DEC-1999","04-APR-2003","28-MAR-2001","","Defaulted","Mossack Fonseca","56","BHS","Bahamas","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10017399,"VALENCIA EQUITIES S.A.","VALENCIA EQUITIES S.A.","","SEY","Seychelles","","BOND & COMPANY 35 BARRACK ROAD BELIZE CITY BELIZE  *S.I.*",205733,"06-SEP-2006","13-MAR-2008","31-DEC-2008","","Defaulted","Mossack Fonseca","030700","BLZ","Belize","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10039833,"VALENCIA HOLDINGS OVERSEAS CORP.","VALENCIA HOLDINGS OVERSEAS CORP.","","PMA","Panama","","LIC. GEORGE T. ARENDRUP BOULEVARD HELVETIQUE, 36 1207 GENEVE SWITZERLAND *S.I.*",31390,"30-MAY-2005","13-NOV-2014","15-JUL-2016","","Dissolved","Mossack Fonseca","60","CHE","Switzerland","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10039834,"VALENCIA HOLDINGS, LTD.","VALENCIA HOLDINGS, LTD.","","NIUE","Niue","","APPLEBY TRUST (JERSEY) LIMITED  P.O. BOX 207 13-14 ESPLANADE ST. HELIER, JERSEY JE1 1BD CHANNEL ISLANDS **S.I.**",303701,"18-DEC-1998","10-FEB-2003","18-AUG-2000","","Bad debt account","Mossack Fonseca","003652","JEY","Jersey","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10042395,"VALENCIA TEAM, S.A.","VALENCIA TEAM, S.A.","","PMA","Panama","","GRUPO LEGAL CONSULTIVO LEGAL-GROUP . VALENCIA TEAM; S.A. URB. CHUAO; CALLE LA GUAIRITA  EDF. LOS FRAILES; PISO 5; OFC. 503 CARACAS 1061 ¿ VENEZUELA",31564,"02-JUN-2005","","","","Active","Mossack Fonseca","17","VEN","Venezuela","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10042510,"VALENCIA OVERSEAS INC.","VALENCIA OVERSEAS INC.","","PMA","Panama","","HSBC PRIVATE BANK (MONACO) S.A. 17; AVENUE D'OSTENDE 98000; MONTE CARLO MONACO",31552,"06-JUN-2005","24-FEB-2010","15-JUL-2012","","Defaulted","Mossack Fonseca","91","MCO","Monaco","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10046154,"VALENCIA MARKETING S.A.","VALENCIA MARKETING S.A.","","PMA","Panama","","UNICREDIT LUXEMBOURG SA 8-10, RUE JEAN MONNET L-2180 LUXEMBOURG  LUXEMBOURG",31919,"17-JUN-2005","19-JAN-2011","15-JUL-2012","","Dissolved","Mossack Fonseca","8","LUX","Luxembourg","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10052676,"VALENCIA CAPITAL S.A.","VALENCIA CAPITAL S.A.","","PMA","Panama","","HMS - ASSESSORIA E CONSULTORIA EMPRESARIAL AV. ANTONIO GAZZOLA; 1001; 2ºANDAR; SALAS 1A; 2A; 3A; CEP: 13301-245; ITU; SP; BRAZIL",44131,"02-AUG-2007","18-JAN-2010","15-JAN-2010","","Defaulted","Mossack Fonseca","12","BRA","Brazil","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10057307,"NUEVA VALENCIA S.A.","NUEVA VALENCIA S.A.","","PMA","Panama","","DIETER KELLER P.O. BOX 144135 CORAL GABLES, FLORIDA  33114-4135",4866,"19-DEC-1984","","","","Active","Mossack Fonseca","62","USA","United States","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10069502,"VALENCIA OVERSEAS LIMITED","VALENCIA OVERSEAS LIMITED","","BVI","British Virgin Islands","","CAPITAL CORPORATE SERVICES LIMITED UNIT F; 7 FLOOR; CNT TOWER 338 HENNESSY ROAD WANCHAI; HONG KONG",516355,"08-JAN-1996","01-NOV-2002","31-OCT-2002","","Defaulted","Mossack Fonseca","171869","HKG","Hong Kong","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
10087119,"VALENCIA MARKETING S.A.","VALENCIA MARKETING S.A.","","BVI","British Virgin Islands","","MF ASSOCIATES INC. PASEO ROBERTO MOTTA CAPITAL PLAZA; FLOOR 8 COSTA DEL ESTE; PANAMÁ PANAMA REPUBLIC OF PANAMA *S.I.*",536110,"27-MAR-2000","01-NOV-2002","31-OCT-2002","","Defaulted","Mossack Fonseca","378330","PAN","Panama","Panama Papers","The Panama Papers data is current through 2015","","VALENCIA"
