Company;Country;Doc id;Cartel;a.k.a;Impact Report Page
AS INVERSIONES S.A.;Colombia ;2;SINALOA CARTEL ;;
CBM DE COLOMBIA S.A.;Colombia ;2;SINALOA CARTEL ;;
C.I. PLANETA COMERCIAL S.A.;Colombia ;2;SINALOA CARTEL ;;
PRODUCTOS KIBONY S.A.S.;Colombia ;2;SINALOA CARTEL ;;
R D I S.A.;Colombia ;2;SINALOA CARTEL ;;
T & T ANDINA S.A.;Colombia ;2;SINALOA CARTEL ;;
COMERCIALIZADORA EMPRESARIAL TEAM BUSINESS S.A.;Ecuador;2;SINALOA CARTEL ;;
NEGOCIOS INTERNACIONALES DEL ECUADOR NIDEGROUP S.A.;Ecuador;2;SINALOA CARTEL ;;
SNACK PARTY;Ecuador;2;SINALOA CARTEL ;;
INTERNATIONAL GROUP OIRALIH, S.A. DE C.V. ;Mexico ;2;SINALOA CARTEL ;;
GRUPO MUNDO MARINO, S.A. ;Panama ;2;SINALOA CARTEL ;;
GENETICA DEL SUR S.A. ;Uruguay ;2;SINALOA CARTEL ;;
SBT S.A.;Colombia ;5;;;
INDUITEX LTDA. ;Colombia ;5;;;
INVERSIONES GILFE S.A. ;Colombia ;5;;;
COLOMBO PERUANA DE TEJIDOS S.A.;Colombia ;5;;;
"PROMESAS DEL FUTBOL COLOMBIANO S.A.
";Colombia ;5;;PROFUTCOL S.A.;
GUBEREK GRIMBERG E HIJOS Y CIA S. EN C. ;Colombia ;5;;;
COMERCIALIZADORA INTERNACIONAL ANDINA LIMITADA;Colombia ;5;;COINTERANDINA;
G&G INTERNACIONAL S.A.S. ;Colombia ;5;;SEBASTIANO ;
C.I. DEL ISTMO S.A.S. ;Colombia ;5;;;
ISSA EMPRESA UNIPERSONAL ;Colombia ;5;;;
AVANTI JOYEROS E.U. ;Colombia ;5;;;
T.F.M.C. THE FOOD MANAGEMENT CORPORATION LTD;Israel ;5;;;
INVERSORA PANACOL S.A. ;Panama ;5;;;
BRACRO S.A.;Panama ;5;;;
CONSTRUCTORA NACIONAL DE PANAMA S.A. ;Panama ;5;;;
C.I. CAFFEE VALORES S.A. ;Panama ;5;;;
I&S HOLDING COMPANY, S.A. ;Panama ;5;;;
IMPAN-COL, S.A.;Panama ;5;;;
CHAPS INVESTMENT INC. ;Panama ;5;;;
ORBITAL HORIZONS CORP. ;Panama ;5;;;
COMPANIA REAL DE PANAMA S.A. ;Panama ;5;;;
FUNDACION ISSARA;Panama ;5;;;
INTERNACIONAL MONEY SERVICIO LTDA. ;Colombia ;6;;;
ALMACEN SONIPAL ;Colombia ;6;;;
EL KAIRO INTERNACIONAL SAS ;Colombia ;6;;;
INVERSIONES Y REPRESENTACIONES EL CAIRO LTDA. ;Colombia ;6;;;
AGRO NEGOCIOS SAJE LTDA. ;Colombia ;6;;;
GRUPO EMPRESARIAL ENKOR PROFESIONAL S.A.S. ;Colombia ;7;LA OFICINA DE ENVIGADO ;;
E-PROFESIONAL ;Colombia ;7;LA OFICINA DE ENVIGADO ;;
ALMACEN GUIBAR;Colombia ;7;LA OFICINA DE ENVIGADO ;;
TRITCON S.A.S. ;Colombia ;7;LA OFICINA DE ENVIGADO ;;
GRUPO EMPRESARIAL GHEMA S.A.S. ;Colombia ;7;LA OFICINA DE ENVIGADO ;;
MEJIA ALZATE ASOCIADOS Y CIA. LTDA.;Colombia ;7;LA OFICINA DE ENVIGADO ;;
VARIEDADES JOSE ALBEIRO BARCO M. ;Colombia ;7;LA OFICINA DE ENVIGADO ;;
